Elememts Number:  1516	     8
 1429:	    0	    8
  656:	    1	    7
  658:	    1	    6
  659:	    1	    6
 1169:	    1	    7
 1173:	    2	    7
  663:	    2	    6
  664:	    2	    6
  666:	    1	    7
 1433:	    0	    8
  668:	    2	    7
  670:	    2	    7
 1437:	    0	    8
  672:	    1	    7
  674:	    1	    7
 1441:	    0	    8
  676:	    2	    7
  678:	    2	    7
 1445:	    0	    8
  680:	    1	    7
  682:	    1	    7
 1449:	    0	    8
  684:	    2	    7
  686:	    2	    7
 1453:	    0	    8
  688:	    1	    7
  690:	    1	    7
 1457:	    0	    8
  692:	    2	    7
  694:	    2	    7
 1461:	    0	    8
  696:	    1	    7
  698:	    1	    7
 1465:	    0	    8
  700:	    2	    7
  702:	    2	    7
 1469:	    0	    8
  704:	    1	    7
  706:	    1	    7
 1473:	    0	    8
  708:	    2	    7
  710:	    2	    7
 1477:	    0	    8
  712:	    1	    7
  714:	    1	    7
 1481:	    0	    8
  716:	    2	    7
  718:	    2	    7
 1485:	    0	    8
  720:	    1	    7
  722:	    1	    7
 1489:	    0	    8
  724:	    2	    7
  726:	    2	    6
  727:	    2	    6
  728:	    2	    6
 1497:	    1	    8
  731:	    2	    7
 1509:	    1	    8
  734:	    2	    6
  735:	    2	    6
  736:	    2	    6
  738:	    1	    6
 1521:	    1	    7
  740:	    1	    6
 1513:	    1	    8
  743:	    2	    7
 1525:	    1	    8
 1529:	    1	    8
  747:	    2	    7
 1541:	    1	    8
  750:	    2	    6
  751:	    2	    6
  752:	    2	    6
  754:	    1	    6
 1553:	    1	    7
  756:	    1	    6
 1545:	    1	    8
  759:	    2	    7
 1557:	    1	    8
 1561:	    1	    8
  763:	    2	    7
 1573:	    1	    8
  766:	    2	    6
  767:	    2	    6
  768:	    2	    6
  770:	    1	    6
 1585:	    1	    7
  772:	    1	    6
 1577:	    1	    8
  775:	    2	    7
 1589:	    1	    8
 1593:	    1	    8
  779:	    2	    7
 1605:	    1	    8
  782:	    2	    6
  783:	    2	    6
  784:	    2	    6
  786:	    1	    6
 1617:	    1	    7
  788:	    1	    6
 1609:	    1	    8
  791:	    2	    7
 1621:	    1	    8
 1625:	    1	    8
  795:	    2	    7
 1637:	    1	    8
  798:	    2	    6
  799:	    2	    6
  800:	    2	    6
  802:	    1	    6
 1649:	    1	    7
  804:	    1	    6
 1641:	    1	    8
  807:	    2	    7
 1653:	    1	    8
 1657:	    1	    8
  811:	    2	    7
 1669:	    1	    8
  814:	    2	    6
  815:	    2	    6
  816:	    2	    6
  818:	    1	    6
 1681:	    1	    7
  820:	    1	    6
 1673:	    1	    8
  823:	    2	    7
 1685:	    1	    8
 1689:	    1	    8
  827:	    2	    7
 1701:	    1	    8
  830:	    2	    6
  831:	    2	    6
  832:	    2	    6
  834:	    1	    6
 1713:	    1	    7
  836:	    1	    6
 1705:	    1	    8
  839:	    2	    7
 1717:	    1	    8
 1721:	    1	    8
  843:	    2	    7
 1733:	    1	    8
  846:	    2	    6
  847:	    2	    6
  848:	    2	    6
 1737:	    1	    8
  851:	    2	    7
 1745:	    1	    8
  854:	    2	    6
 1749:	    2	    7
  856:	    2	    6
 1753:	    2	    8
  859:	    1	    7
 1765:	    2	    8
  862:	    1	    6
  863:	    1	    6
  864:	    1	    6
  866:	    2	    6
 1777:	    2	    7
  868:	    2	    6
 1769:	    2	    8
  871:	    1	    7
 1781:	    2	    8
 1785:	    2	    8
  875:	    1	    7
 1797:	    2	    8
  878:	    1	    6
  879:	    1	    6
  880:	    1	    6
  882:	    2	    6
 1809:	    2	    7
  884:	    2	    6
 1801:	    2	    8
  887:	    1	    7
 1813:	    2	    8
 1817:	    2	    8
  891:	    1	    7
 1829:	    2	    8
  894:	    1	    6
  895:	    1	    6
  896:	    1	    6
  898:	    2	    6
 1841:	    2	    7
  900:	    2	    6
 1833:	    2	    8
  903:	    1	    7
 1845:	    2	    8
 1849:	    2	    8
  907:	    1	    7
 1861:	    2	    8
  910:	    1	    6
  911:	    1	    6
  912:	    1	    6
  914:	    2	    6
 1873:	    2	    7
  916:	    2	    6
 1865:	    2	    8
  919:	    1	    7
 1877:	    2	    8
 1881:	    2	    8
  923:	    1	    7
 1893:	    2	    8
  926:	    1	    6
  927:	    1	    6
  928:	    1	    6
  930:	    2	    6
 1905:	    2	    7
  932:	    2	    6
 1897:	    2	    8
  935:	    1	    7
 1909:	    2	    8
 1913:	    2	    8
  939:	    1	    7
 1925:	    2	    8
  942:	    1	    6
  943:	    1	    6
  944:	    1	    6
  946:	    2	    6
 1937:	    2	    7
  948:	    2	    6
 1929:	    2	    8
  951:	    1	    7
 1941:	    2	    8
 1945:	    2	    8
  955:	    1	    7
 1957:	    2	    8
  958:	    1	    6
  959:	    1	    6
  960:	    1	    6
  962:	    2	    6
 1969:	    2	    7
  964:	    2	    6
 1961:	    2	    8
  967:	    1	    7
 1973:	    2	    8
 1977:	    2	    8
  971:	    1	    7
 1989:	    2	    8
  974:	    2	    6
 1997:	    2	    7
  976:	    2	    6
 1993:	    2	    8
  979:	    1	    7
 2001:	    2	    8
  982:	    2	    6
  983:	    2	    6
 2005:	    2	    7
  986:	    2	    7
 2009:	    0	    8
  988:	    1	    7
 2013:	    2	    7
  991:	    2	    6
  992:	    2	    6
  994:	    1	    7
 2017:	    0	    8
  996:	    2	    7
  998:	    2	    7
  999:	    2	    7
 1000:	    2	    7
 1002:	    2	    8
 1003:	    0	    8
 1004:	    1	    8
 1006:	    2	    7
 1007:	    2	    7
 1008:	    2	    7
 1010:	    1	    8
 1011:	    0	    8
 1012:	    2	    8
 1014:	    2	    7
 1015:	    2	    7
 1016:	    2	    7
 1018:	    1	    7
 1019:	    1	    7
 1020:	    1	    7
 1022:	    2	    8
 1023:	    0	    8
 1024:	    1	    8
 1026:	    1	    7
 1027:	    1	    7
 1028:	    1	    7
 1030:	    2	    7
 1031:	    2	    7
 1032:	    2	    7
 1034:	    1	    8
 1035:	    0	    8
 1036:	    2	    8
 1038:	    2	    7
 1039:	    2	    7
 1040:	    2	    7
 1042:	    1	    7
 1043:	    1	    7
 1044:	    1	    7
 1046:	    2	    8
 1047:	    0	    8
 1048:	    1	    8
 1050:	    1	    7
 1051:	    1	    7
 1052:	    1	    7
 1054:	    2	    7
 1055:	    2	    7
 1056:	    2	    7
 1058:	    1	    8
 1059:	    0	    8
 1060:	    2	    8
 1062:	    2	    7
 1063:	    2	    7
 1064:	    2	    7
 1066:	    1	    7
 1067:	    1	    7
 1068:	    1	    7
 1070:	    2	    8
 1071:	    0	    8
 1072:	    1	    8
 1074:	    1	    7
 1075:	    1	    7
 1076:	    1	    7
 1078:	    2	    7
 1079:	    2	    7
 1080:	    2	    7
 1082:	    1	    8
 1083:	    0	    8
 1084:	    2	    8
 1086:	    2	    7
 1087:	    2	    7
 1088:	    2	    7
 1090:	    1	    7
 1091:	    1	    7
 1092:	    1	    7
 1094:	    2	    8
 1095:	    0	    8
 1096:	    1	    8
 1098:	    1	    7
 1099:	    1	    7
 1100:	    1	    7
 1102:	    2	    7
 1103:	    2	    7
 1104:	    2	    7
 1106:	    1	    8
 1107:	    0	    8
 1108:	    2	    8
 1110:	    2	    7
 1111:	    2	    7
 1112:	    2	    7
 1114:	    1	    7
 1115:	    1	    7
 1116:	    1	    7
 1118:	    2	    8
 1119:	    0	    8
 1120:	    1	    8
 1122:	    1	    7
 1123:	    1	    7
 1124:	    1	    7
 1126:	    2	    7
 1127:	    2	    7
 1128:	    2	    7
 1130:	    1	    8
 1131:	    0	    8
 1132:	    2	    8
 1134:	    2	    7
 1135:	    2	    7
 1136:	    2	    7
 1138:	    1	    7
 1139:	    1	    7
 1140:	    1	    7
 1142:	    2	    8
 1143:	    0	    8
 1144:	    1	    8
 1146:	    1	    7
 1147:	    1	    7
 1148:	    1	    7
 1150:	    2	    7
 1151:	    2	    7
 1152:	    2	    7
 1154:	    1	    8
 1155:	    0	    8
 1156:	    2	    8
 1158:	    2	    7
 1159:	    2	    7
 1160:	    2	    7
 1162:	    1	    7
 1163:	    1	    7
 1164:	    1	    7
 1166:	    2	    8
 1167:	    0	    8
 1168:	    1	    8
 1170:	    1	    7
 1171:	    1	    7
 1172:	    1	    7
 1174:	    2	    7
 1175:	    2	    7
 1176:	    2	    7
 1178:	    1	    8
 1179:	    0	    8
 1180:	    2	    8
 1182:	    2	    7
 1183:	    2	    7
 1184:	    2	    7
 1186:	    1	    7
 1187:	    1	    7
 1188:	    1	    7
 1190:	    2	    8
 1191:	    0	    8
 1192:	    1	    8
 1194:	    1	    7
 1195:	    1	    7
 1196:	    1	    7
 1198:	    2	    7
 1199:	    2	    7
 1200:	    2	    7
 1202:	    1	    8
 1203:	    0	    8
 1204:	    2	    8
 1206:	    2	    7
 1207:	    2	    7
 1208:	    2	    7
 1210:	    1	    7
 1211:	    1	    7
 1212:	    1	    7
 1214:	    2	    8
 1215:	    0	    8
 1216:	    1	    8
 1218:	    1	    7
